题号	题目	答案	分值	题目类型
1	r()pz	o	10.000000	0
2	w()ter	a	10.000000	0
3	b()ok	o	10.000000	0
4	h()ppy	a	10.000000	0
5	c()t	a	10.000000	0
6	d()g	o	10.000000	0
7	f()sh	i	10.000000	0
8	g()me	a	10.000000	0
9	l()ke	i	10.000000	0
10	n()me	a	10.000000	0
11	z()()oo	yw	10.000000	1
12	m()()th	ea	10.000000	1
13	b()()k	oo	10.000000	1
14	c()()l	oo	10.000000	1
15	f()()t	ee	10.000000	1
16	h()()r	ea	10.000000	1
17	s()()p	oo	10.000000	1
18	t()()th	ee	10.000000	1
19	wh()()	at	10.000000	1
20	th()()	is	10.000000	1
